gene_symbol_DLV,gene_symbol_original,gene_name,aeid,aenm,signal_direction,analysis_direction,assay_component_endpoint_desc,gene_direction
BCHE,BCHE,butyrylcholinesterase,441,NVS_ENZ_hES,loss,positive,"Data from the assay component NVS_ENZ_hES was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hES, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene BCHE. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""esterase"" intended target family, where the subfamily is ""pseudocholinesterase"".",inhibition
BCHE,BCHE,butyrylcholinesterase,442,NVS_ENZ_hES_Activator,gain,negative,"Data from the assay component NVS_ENZ_hES was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hES_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene BCHE. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""esterase"" intended target family, where the subfamily is ""pseudocholinesterase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
FGFR1,FGFR1,fibroblast growth factor receptor 1,443,NVS_ENZ_hFGFR1,loss,positive,"Data from the assay component NVS_ENZ_hFGFR1 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hFGFR1, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene FGFR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"".",inhibition
FGFR1,FGFR1,fibroblast growth factor receptor 1,444,NVS_ENZ_hFGFR1_Activator,gain,negative,"Data from the assay component NVS_ENZ_hFGFR1 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hFGFR1_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene FGFR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
FGFR3,FGFR3,fibroblast growth factor receptor 3,445,NVS_ENZ_hFGFR3,loss,positive,"Data from the assay component NVS_ENZ_hFGFR3 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hFGFR3, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene FGFR3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"".",inhibition
FGFR3,FGFR3,fibroblast growth factor receptor 3,446,NVS_ENZ_hFGFR3_Activator,gain,negative,"Data from the assay component NVS_ENZ_hFGFR3 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hFGFR3_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene FGFR3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
FYN,FYN,"FYN proto-oncogene, Src family tyrosine kinase",447,NVS_ENZ_hFyn,loss,positive,"Data from the assay component NVS_ENZ_hFyn was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hFyn, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene FYN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"".",inhibition
FYN,FYN,"FYN proto-oncogene, Src family tyrosine kinase",448,NVS_ENZ_hFyn_Activator,gain,negative,"Data from the assay component NVS_ENZ_hFyn was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hFyn_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene FYN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
GSK3B,GSK3B,glycogen synthase kinase 3 beta,449,NVS_ENZ_hGSK3b,loss,positive,"Data from the assay component NVS_ENZ_hGSK3b was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hGSK3b, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene GSK3B. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
GSK3B,GSK3B,glycogen synthase kinase 3 beta,450,NVS_ENZ_hGSK3b_Activator,gain,negative,"Data from the assay component NVS_ENZ_hGSK3b was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hGSK3b_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene GSK3B. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
HDAC3,HDAC3,histone deacetylase 3,451,NVS_ENZ_hHDAC3,loss,positive,"Data from the assay component NVS_ENZ_hHDAC3 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hHDAC3, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene HDAC3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""hydrolase"" intended target family, where the subfamily is ""histone deacetylase"".",inhibition
HDAC3,HDAC3,histone deacetylase 3,452,NVS_ENZ_hHDAC3_Activator,gain,negative,"Data from the assay component NVS_ENZ_hHDAC3 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hHDAC3_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene HDAC3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""hydrolase"" intended target family, where the subfamily is ""histone deacetylase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
HDAC6,HDAC6,histone deacetylase 6,453,NVS_ENZ_hHDAC6,loss,positive,"Data from the assay component NVS_ENZ_hHDAC6 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hHDAC6, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene HDAC6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""hydrolase"" intended target family, where the subfamily is ""histone deacetylase"".",inhibition
HDAC6,HDAC6,histone deacetylase 6,454,NVS_ENZ_hHDAC6_Activator,gain,negative,"Data from the assay component NVS_ENZ_hHDAC6 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hHDAC6_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene HDAC6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""hydrolase"" intended target family, where the subfamily is ""histone deacetylase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
IGF1R,IGF1R,insulin-like growth factor 1 receptor,455,NVS_ENZ_hIGF1R,loss,positive,"Data from the assay component NVS_ENZ_hIGF1R was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hIGF1R, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene IGF1R. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"".",inhibition
IGF1R,IGF1R,insulin-like growth factor 1 receptor,456,NVS_ENZ_hIGF1R_Activator,gain,negative,"Data from the assay component NVS_ENZ_hIGF1R was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hIGF1R_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene IGF1R. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
CHUK,CHUK,conserved helix-loop-helix ubiquitous kinase,457,NVS_ENZ_hIKKa,loss,positive,"Data from the assay component NVS_ENZ_hIKKa was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hIKKa, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CHUK. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
CHUK,CHUK,conserved helix-loop-helix ubiquitous kinase,458,NVS_ENZ_hIKKa_Activator,gain,negative,"Data from the assay component NVS_ENZ_hIKKa was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hIKKa_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CHUK. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
INSR,INSR,insulin receptor,459,NVS_ENZ_hInsR,loss,positive,"Data from the assay component NVS_ENZ_hInsR was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hInsR, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene INSR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"".",inhibition
INSR,INSR,insulin receptor,460,NVS_ENZ_hInsR_Activator,gain,negative,"Data from the assay component NVS_ENZ_hInsR was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hInsR_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene INSR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
IRAK4,IRAK4,interleukin-1 receptor-associated kinase 4,461,NVS_ENZ_hIRAK4,loss,positive,"Data from the assay component NVS_ENZ_hIRAK4 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hIRAK4, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene IRAK4. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"".",inhibition
IRAK4,IRAK4,interleukin-1 receptor-associated kinase 4,462,NVS_ENZ_hIRAK4_Activator,gain,negative,"Data from the assay component NVS_ENZ_hIRAK4 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hIRAK4_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene IRAK4. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
JAK2,JAK2,Janus kinase 2,463,NVS_ENZ_hJak2,loss,positive,"Data from the assay component NVS_ENZ_hJak2 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hJak2, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene JAK2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"".",inhibition
JAK2,JAK2,Janus kinase 2,464,NVS_ENZ_hJak2_Activator,gain,negative,"Data from the assay component NVS_ENZ_hJak2 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hJak2_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene JAK2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
MAPK9,MAPK9,mitogen-activated protein kinase 9,465,NVS_ENZ_hJNK2,loss,positive,"Data from the assay component NVS_ENZ_hJNK2 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hJNK2, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK9. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
MAPK9,MAPK9,mitogen-activated protein kinase 9,466,NVS_ENZ_hJNK2_Activator,gain,negative,"Data from the assay component NVS_ENZ_hJNK2 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hJNK2_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK9. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
LCK,LCK,"LCK proto-oncogene, Src family tyrosine kinase",467,NVS_ENZ_hLck,loss,positive,"Data from the assay component NVS_ENZ_hLck was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hLck, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene LCK. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"".",inhibition
LCK,LCK,"LCK proto-oncogene, Src family tyrosine kinase",468,NVS_ENZ_hLck_Activator,gain,negative,"Data from the assay component NVS_ENZ_hLck was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hLck_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene LCK. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
LYN,LYN,"LYN proto-oncogene, Src family tyrosine kinase",469,NVS_ENZ_hLynA,loss,positive,"Data from the assay component NVS_ENZ_hLynA was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hLynA, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene LYN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"".",inhibition
LYN,LYN,"LYN proto-oncogene, Src family tyrosine kinase",470,NVS_ENZ_hLynA_Activator,gain,negative,"Data from the assay component NVS_ENZ_hLynA was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hLynA_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene LYN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
LYN,LYN,"LYN proto-oncogene, Src family tyrosine kinase",471,NVS_ENZ_hLynB,loss,positive,"Data from the assay component NVS_ENZ_hLynB was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hLynB, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene LYN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"".",inhibition
LYN,LYN,"LYN proto-oncogene, Src family tyrosine kinase",472,NVS_ENZ_hLynB_Activator,gain,negative,"Data from the assay component NVS_ENZ_hLynB was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hLynB_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene LYN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""non-receptor tyrosine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
MAPK1,MAPK1,mitogen-activated protein kinase 1,473,NVS_ENZ_hMAPK1,loss,positive,"Data from the assay component NVS_ENZ_hMAPK1 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPK1, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
MAPK1,MAPK1,mitogen-activated protein kinase 1,474,NVS_ENZ_hMAPK1_Activator,gain,negative,"Data from the assay component NVS_ENZ_hMAPK1 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPK1_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
MAPK11,MAPK11,mitogen-activated protein kinase 11,475,NVS_ENZ_hMAPK11,loss,positive,"Data from the assay component NVS_ENZ_hMAPK11 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPK11, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK11. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
MAPK11,MAPK11,mitogen-activated protein kinase 11,476,NVS_ENZ_hMAPK11_Activator,gain,negative,"Data from the assay component NVS_ENZ_hMAPK11 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPK11_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK11. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
MAPK3,MAPK3,mitogen-activated protein kinase 3,477,NVS_ENZ_hMAPK3,loss,positive,"Data from the assay component NVS_ENZ_hMAPK3 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPK3, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
MAPK3,MAPK3,mitogen-activated protein kinase 3,478,NVS_ENZ_hMAPK3_Activator,gain,negative,"Data from the assay component NVS_ENZ_hMAPK3 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPK3_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPK3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
MAPKAPK2,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,479,NVS_ENZ_hMAPKAPK2,loss,positive,"Data from the assay component NVS_ENZ_hMAPKAPK2 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPKAPK2, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPKAPK2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"".",inhibition
MAPKAPK2,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,480,NVS_ENZ_hMAPKAPK2_Activator,gain,negative,"Data from the assay component NVS_ENZ_hMAPKAPK2 was analyzed into 2 assay endpoints. This assay endpoint, NVS_ENZ_hMAPKAPK2_Activator, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, gain-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene MAPKAPK2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""kinase"" intended target family, where the subfamily is ""serine/threonine kinase"". Assay was not developed or optimized to detect gain of signal. Use data with caution.",Activation
